0.000000,0.000000
-0.090322,0.042820
-0.184468,0.076409
-0.281497,0.100431
-0.380439,0.114647
-0.480306,0.118914
-0.580100,0.113189
-0.678824,0.097530
-0.775492,0.072094
-0.875456,0.073966
-0.975322,0.069176
-1.071920,0.095021
-1.169325,0.117632
-1.267430,0.136985
-1.353331,0.188180
-1.439232,0.239376
-1.525133,0.290572
-1.611034,0.341768
-1.696935,0.392964
-1.782836,0.444160
-1.868737,0.495355
-1.954638,0.546551
-2.040539,0.597747
-2.126440,0.648943
-2.212341,0.700139
-2.298242,0.751334
-2.384143,0.802530
-2.470044,0.853726
-2.555945,0.904922
-2.641846,0.956118
-2.727747,1.007313
-2.813648,1.058509
-2.874743,1.137670
-2.958891,1.191700
-3.017314,1.272853
-3.099613,1.329657
-3.155300,1.412712
-3.235661,1.472228
-3.288548,1.557093
-3.366881,1.619254
-3.416910,1.705834
-3.493128,1.770571
-3.540245,1.858770
-3.614262,1.926011
-3.658413,2.015731
-3.730149,2.085402
-3.771285,2.176544
-3.840659,2.248567
-3.878734,2.341029
-3.945669,2.415324
-3.980642,2.509004
-4.045064,2.585489
-4.076896,2.680282
-4.138733,2.758871
-4.167388,2.854672
-4.226572,2.935278
-4.252017,3.031982
-4.274227,3.129480
-4.327909,3.213849
-4.346856,3.312033
-4.397697,3.398145
